['3059122', '22', '120']
['3059137', '22', '120']
['3059144', '22', '120']
['3059151', '22', '120']
['3059166', '22', '119']
['3059173', '22', '119']
['3059187', '22', '119']
['3059194', '22', '119']
['3059201', '22', '120']
['3059216', '22', '120']
['3059223', '22', '120']
['3059237', '22', '120']
['3059245', '22', '120']
['3059252', '22', '120']
['3059266', '22', '120']
['3059273', '22', '120']
['3059288', '22', '120']
['3059295', '22', '120']
['3059302', '22', '120']
['3059317', '22', '120']
['3059324', '22', '120']
['3059338', '22', '120']
['3059345', '22', '120']
['3059352', '22', '120']
['3059367', '22', '120']
['3059374', '22', '120']
['3059389', '22', '120']
['3059396', '22', '120']
